OBJECTID,REPORTNO,STATUS,ADDRTYPE,LOCATION,COLLISIONTYPE,PERSONCOUNT,PEDCOUNT,PEDCYLCOUNT,VEHCOUNT,INJURIES,SERIOUSINJURIES,FATALITIES,INCDATE,INCDTTM,WEATHER,ROADCOND,LIGHTCOND,SPEEDING,HITPARKEDCAR,LOCATION_PROCESSED
17,REPORT17,STATUS1,ADDRTYPE1,"PSC 0047, Box 1773
APO AP 73937",Other,2.0,2.0,0.0,3.0,0,0,1,2023-09-24,2023-08-25 03:25:08,Clear,Other,Dark - Street Lights Off,N,Y,"PSC 0047 , Box 1773 APO AP 73937"
18,REPORT18,STATUS1,ADDRTYPE3,"34559 Mariah Spur
West Elizabeth, VT 25593",Left Turn,5.0,1.0,1.0,1.0,2,1,1,2023-09-19,2023-11-04 03:25:08,Overcast,Unknown,Other,Y,Y,"34559 Mariah Spur West Elizabeth , VT 25593"
19,REPORT19,STATUS1,ADDRTYPE3,"7496 George Loaf
Jamesport, PW 69410",Cycles,4.0,2.0,1.0,3.0,3,1,0,2023-06-17,2023-11-14 03:25:08,Other,Unknown,Dusk,N,N,"7496 George Loaf Jamesport , PW 69410"
20,REPORT20,STATUS1,ADDRTYPE1,"240 Nicole Isle Suite 617
New Ericmouth, OK 83135",Cycles,3.0,2.0,1.0,1.0,0,1,1,2023-09-22,2023-03-09 03:25:08,Blowing Sand/Dirt,Snow/Slush,Dawn,N,Y,"240 Nicole Isle Suite 617 New Ericmouth , OK 83135"
21,REPORT21,STATUS1,ADDRTYPE1,"27029 Ball Park
East Jillton, PR 17832",Sideswipe,4.0,0.0,0.0,1.0,3,1,0,2023-10-07,2023-04-30 03:25:08,,,,Y,Y,"27029 Ball Park East Jillton , PR 17832"
22,REPORT22,STATUS3,ADDRTYPE3,"77655 Stacy Curve
Greerstad, AR 79836",Pedestrian,1.0,0.0,0.0,3.0,1,0,0,2023-11-02,2024-02-12 03:25:08,Unknown,Ice,Daylight,Y,Y,"77655 Stacy Curve Greerstad , AR 79836"
23,REPORT23,STATUS3,ADDRTYPE1,"8338 Moss Spur
Lawsonhaven, CT 56062",Pedestrian,4.0,1.0,0.0,1.0,0,1,0,2024-02-18,2023-08-14 03:25:08,Other,Other,Dark - Street Lights On,Y,Y,"8338 Moss Spur Lawsonhaven , CT 56062"
24,REPORT24,STATUS1,ADDRTYPE2,"Unit 4188 Box 5862
DPO AP 33101",Parked Car,4.0,0.0,1.0,2.0,0,0,0,2023-04-02,2023-08-17 03:25:08,Blowing Sand/Dirt,Oil,Daylight,N,N,Unit 4188 Box 5862 DPO AP 33101
25,REPORT25,STATUS3,ADDRTYPE3,"85169 Steele Valleys
Port Laurieberg, MN 41805",Other,3.0,1.0,0.0,1.0,3,1,0,2023-05-04,2024-02-11 03:25:08,Fog/Smog/Smoke,Snow/Slush,Dark - No Street Lights,Y,N,"85169 Steele Valleys Port Laurieberg , MN 41805"
26,REPORT26,STATUS1,ADDRTYPE1,"716 Booker Burgs
Lake Sydneyburgh, TX 35476",Parked Car,1.0,2.0,0.0,3.0,2,1,0,2023-08-02,2023-09-18 03:25:08,Blowing Sand/Dirt,Sand/Mud/Dirt,Dawn,N,Y,"716 Booker Burgs Lake Sydneyburgh , TX 35476"
27,REPORT27,STATUS3,ADDRTYPE1,"99898 Edwards Glens Suite 997
Lorettaland, DC 16878",Sideswipe,3.0,1.0,1.0,2.0,1,0,1,2023-10-31,2023-09-15 03:25:08,Raining,Sand/Mud/Dirt,Dark - No Street Lights,N,Y,"99898 Edwards Glens Suite 997 Lorettaland , DC 16878"
28,REPORT28,STATUS3,ADDRTYPE1,"350 Allen Valleys Suite 017
Larryhaven, NE 18731",Rear Ended,1.0,2.0,1.0,1.0,2,0,1,2023-09-16,2023-06-07 03:25:08,Overcast,Ice,Other,N,Y,"350 Allen Valleys Suite 017 Larryhaven , NE 18731"
29,REPORT29,STATUS3,ADDRTYPE1,"331 Thomas Ranch Apt. 710
East Jaredhaven, OR 60746",Cycles,1.0,1.0,1.0,3.0,3,1,1,2023-03-27,2023-12-18 03:25:08,Overcast,Other,Dawn,N,N,"331 Thomas Ranch Apt . 710 East Jaredhaven , OR 60746"
30,REPORT30,STATUS3,ADDRTYPE3,"39586 Philip Square
Hernandeztown, FL 09213",Left Turn,1.0,0.0,1.0,3.0,0,1,1,2023-06-01,2023-02-26 03:25:08,Other,Unknown,Dark - Street Lights On,N,Y,"39586 Philip Square Hernandeztown , FL 09213"
31,REPORT31,STATUS2,ADDRTYPE1,"2921 Hoffman Estate
Johnsonland, GU 30413",Angles,3.0,2.0,1.0,2.0,3,0,0,2024-02-01,2023-06-09 03:25:08,Severe Crosswind,Unknown,Other,Y,Y,"2921 Hoffman Estate Johnsonland , GU 30413"
32,REPORT32,STATUS1,ADDRTYPE1,"98080 Jennifer Court
South Matthew, CA 13234",Angles,1.0,0.0,0.0,3.0,3,1,0,2023-06-27,2023-03-24 03:25:08,Other,Oil,Unknown,N,N,"98080 Jennifer Court South Matthew , CA 13234"
33,REPORT33,STATUS2,ADDRTYPE1,"5607 Justin Passage Apt. 608
West Karen, GA 09476",Sideswipe,2.0,0.0,1.0,3.0,3,1,0,2023-04-09,2023-07-01 03:25:08,Sleet/Hail/Freezing Rain,Sand/Mud/Dirt,Dark - Street Lights On,N,Y,"5607 Justin Passage Apt . 608 West Karen , GA 09476"
34,REPORT34,STATUS3,ADDRTYPE2,"586 Amber Ramp
New Chris, MA 80683",Angles,2.0,1.0,1.0,2.0,3,0,1,2023-06-15,2023-07-23 03:25:08,Overcast,Dry,Dark - No Street Lights,Y,Y,"586 Amber Ramp New Chris , MA 80683"
35,REPORT35,STATUS2,ADDRTYPE2,"68453 Dylan Roads
Anthonyhaven, IA 47438",Parked Car,5.0,2.0,1.0,1.0,0,0,0,2024-01-21,2023-07-24 03:25:08,Snowing,Other,Dark - Street Lights Off,Y,Y,"68453 Dylan Roads Anthonyhaven , IA 47438"
36,REPORT36,STATUS1,ADDRTYPE3,"73202 Rachel Ranch Suite 869
South Michellefurt, IL 19245",Sideswipe,2.0,2.0,0.0,2.0,1,0,1,2023-08-21,2023-08-23 03:25:08,,,,Y,N,"73202 Rachel Ranch Suite 869 South Michellefurt , IL 19245"
37,REPORT37,STATUS1,ADDRTYPE3,"99348 Anthony Forks Apt. 483
Kingfort, SD 08831",Cycles,5.0,1.0,0.0,2.0,0,0,0,2024-02-16,2023-08-23 03:25:08,Fog/Smog/Smoke,Unknown,Unknown,Y,Y,"99348 Anthony Forks Apt . 483 Kingfort , SD 08831"
38,REPORT38,STATUS3,ADDRTYPE2,"27330 Morris Forks
Dicksonport, SD 96247",Parked Car,2.0,0.0,1.0,2.0,3,0,0,2023-04-10,2023-05-18 03:25:08,Raining,Unknown,Dawn,N,Y,"27330 Morris Forks Dicksonport , SD 96247"
39,REPORT39,STATUS2,ADDRTYPE2,"Unit 5762 Box 8240
DPO AE 30647",Pedestrian,3.0,2.0,0.0,1.0,3,1,1,2023-06-29,2023-07-16 03:25:08,Sleet/Hail/Freezing Rain,Sand/Mud/Dirt,Dusk,Y,Y,Unit 5762 Box 8240 DPO AE 30647
40,REPORT40,STATUS2,ADDRTYPE1,"718 David Neck
Lake Ashleybury, WA 53151",Angles,5.0,2.0,0.0,1.0,0,0,0,2023-09-04,2023-05-28 03:25:08,Fog/Smog/Smoke,Wet,Dark - Street Lights On,N,N,"718 David Neck Lake Ashleybury , WA 53151"
41,REPORT41,STATUS2,ADDRTYPE1,"974 Pierce Pass
Pattonborough, HI 40982",Other,4.0,0.0,1.0,1.0,2,1,1,2023-09-20,2023-09-01 03:25:08,Sleet/Hail/Freezing Rain,Dry,Other,Y,N,"974 Pierce Pass Pattonborough , HI 40982"
42,REPORT42,STATUS1,ADDRTYPE2,"4853 Kenneth Grove
East Kristy, GA 68637",Cycles,4.0,0.0,1.0,1.0,2,0,0,2023-08-22,2023-12-23 03:25:08,Severe Crosswind,Snow/Slush,Dusk,N,N,"4853 Kenneth Grove East Kristy , GA 68637"
43,REPORT43,STATUS1,ADDRTYPE3,"83706 Kenneth Prairie
Karaton, AK 72128",Left Turn,2.0,0.0,1.0,1.0,2,0,0,2023-12-27,2023-11-21 03:25:08,Overcast,Ice,Dark - No Street Lights,N,N,"83706 Kenneth Prairie Karaton , AK 72128"
44,REPORT44,STATUS2,ADDRTYPE2,"57942 Robert Key
New Garyside, MD 50716",Rear Ended,4.0,0.0,0.0,2.0,3,1,1,2024-02-17,2023-06-30 03:25:08,Severe Crosswind,Ice,Dawn,Y,Y,"57942 Robert Key New Garyside , MD 50716"
45,REPORT45,STATUS1,ADDRTYPE3,"7965 Clark Forest
South Jeremy, NM 04008",Pedestrian,2.0,0.0,1.0,1.0,0,1,0,2023-08-24,2023-07-15 03:25:08,Blowing Sand/Dirt,Wet,Dawn,Y,Y,"7965 Clark Forest South Jeremy , NM 04008"
46,REPORT46,STATUS1,ADDRTYPE2,"36863 Burton Harbors Apt. 951
New Robertmouth, MO 69911",Rear Ended,2.0,0.0,1.0,2.0,0,1,0,2023-11-16,2023-08-12 03:25:08,Blowing Sand/Dirt,Oil,Daylight,Y,Y,"36863 Burton Harbors Apt . 951 New Robertmouth , MO 69911"
47,REPORT47,STATUS2,ADDRTYPE1,"USNV Perez
FPO AP 99585",Pedestrian,4.0,0.0,1.0,2.0,2,0,1,2023-07-29,2023-11-21 03:25:08,Snowing,Sand/Mud/Dirt,Unknown,N,Y,USNV Perez FPO AP 99585
48,REPORT48,STATUS1,ADDRTYPE3,"9116 Richard Cape
Ramirezmouth, WY 77376",Left Turn,4.0,1.0,1.0,1.0,2,0,1,2023-08-22,2023-05-12 03:25:08,Overcast,Other,Dark - Street Lights On,Y,N,"9116 Richard Cape Ramirezmouth , WY 77376"
49,REPORT49,STATUS2,ADDRTYPE1,"649 Brown Ville
Robbinsville, MT 32963",Other,1.0,0.0,1.0,3.0,0,1,1,2024-02-15,2023-04-21 03:25:08,Other,Wet,Dark - No Street Lights,Y,N,"649 Brown Ville Robbinsville , MT 32963"
50,REPORT50,STATUS2,ADDRTYPE2,"Unit 7878 Box 7994
DPO AE 25835",Pedestrian,5.0,1.0,1.0,3.0,3,0,1,2023-12-30,2023-11-28 03:25:08,Severe Crosswind,Dry,Dark - No Street Lights,Y,N,Unit 7878 Box 7994 DPO AE 25835
51,REPORT51,STATUS3,ADDRTYPE3,"22334 Shaun Locks
South Daniel, WA 42937",Angles,2.0,2.0,1.0,1.0,2,0,0,2023-07-14,2023-05-18 03:25:08,Severe Crosswind,Sand/Mud/Dirt,Other,N,Y,"22334 Shaun Locks South Daniel , WA 42937"
52,REPORT52,STATUS2,ADDRTYPE3,"4559 Donaldson Lake
East Stephen, TX 83328",Left Turn,4.0,0.0,0.0,1.0,1,0,1,2023-06-13,2023-07-11 03:25:08,Other,Unknown,Dusk,N,N,"4559 Donaldson Lake East Stephen , TX 83328"
53,REPORT53,STATUS1,ADDRTYPE3,"Unit 2490 Box 3396
DPO AA 49877",Other,5.0,1.0,0.0,1.0,1,1,1,2023-11-10,2023-08-08 03:25:08,Severe Crosswind,Wet,Unknown,N,N,Unit 2490 Box 3396 DPO AA 49877
54,REPORT54,STATUS3,ADDRTYPE1,"297 Santos Walks
Parrishtown, LA 57615",Rear Ended,4.0,1.0,0.0,1.0,0,1,1,2024-01-07,2023-09-27 03:25:08,Severe Crosswind,Other,Dark - No Street Lights,N,Y,"297 Santos Walks Parrishtown , LA 57615"
55,REPORT55,STATUS2,ADDRTYPE2,"916 Tamara Inlet Apt. 727
North Jessica, PA 97125",Left Turn,4.0,1.0,1.0,2.0,3,1,1,2023-05-25,2023-03-19 03:25:08,Fog/Smog/Smoke,Oil,Other,Y,N,"916 Tamara Inlet Apt . 727 North Jessica , PA 97125"
56,REPORT56,STATUS3,ADDRTYPE1,"865 Jacqueline Squares
Port Anthonymouth, MN 69742",Angles,1.0,2.0,0.0,3.0,1,0,1,2023-06-01,2023-03-04 03:25:08,Raining,Ice,Dusk,Y,Y,"865 Jacqueline Squares Port Anthonymouth , MN 69742"
57,REPORT57,STATUS1,ADDRTYPE3,"006 Schaefer Streets Suite 118
North Michellehaven, NY 31027",Left Turn,2.0,1.0,0.0,2.0,2,0,1,2023-12-03,2023-03-08 03:25:08,Clear,Other,Other,N,N,"006 Schaefer Streets Suite 118 North Michellehaven , NY 31027"
58,REPORT58,STATUS2,ADDRTYPE1,"623 Diane Via Suite 655
Kevinmouth, SD 86368",Parked Car,2.0,2.0,1.0,3.0,3,0,1,2023-07-24,2023-07-11 03:25:08,Clear,Dry,Dark - No Street Lights,N,N,"623 Diane Via Suite 655 Kevinmouth , SD 86368"
59,REPORT59,STATUS1,ADDRTYPE3,"Unit 4820 Box 7958
DPO AP 76149",Parked Car,3.0,0.0,0.0,2.0,0,0,0,2023-12-18,2023-04-01 03:25:08,Overcast,Ice,Dark - No Street Lights,Y,N,Unit 4820 Box 7958 DPO AP 76149
60,REPORT60,STATUS3,ADDRTYPE1,"815 Gabriel Keys Suite 490
Wardtown, DE 90944",Rear Ended,1.0,2.0,0.0,2.0,2,1,0,2023-06-15,2023-09-27 03:25:08,Unknown,Snow/Slush,Dusk,N,N,"815 Gabriel Keys Suite 490 Wardtown , DE 90944"
61,REPORT61,STATUS2,ADDRTYPE2,"2380 Clark Loaf
Josephchester, FM 90818",Sideswipe,5.0,0.0,0.0,1.0,3,1,0,2024-02-16,2023-02-25 03:25:08,Raining,Snow/Slush,Dawn,Y,Y,"2380 Clark Loaf Josephchester , FM 90818"
62,REPORT62,STATUS3,ADDRTYPE1,"88584 Gentry Loaf
Kathleenmouth, IA 61080",Cycles,1.0,0.0,0.0,2.0,0,1,0,2023-12-02,2023-04-08 03:25:08,Raining,Standing Water,Dawn,N,N,"88584 Gentry Loaf Kathleenmouth , IA 61080"
63,REPORT63,STATUS3,ADDRTYPE1,"8811 Summer Light
Robertsfort, VT 16086",Parked Car,5.0,1.0,1.0,2.0,3,1,1,2023-03-20,2023-12-31 03:25:08,Sleet/Hail/Freezing Rain,Snow/Slush,Daylight,N,N,"8811 Summer Light Robertsfort , VT 16086"
64,REPORT64,STATUS2,ADDRTYPE1,"4283 Joseph Mountains
Harrellshire, VT 79813",Cycles,2.0,1.0,0.0,1.0,1,0,0,2023-10-14,2024-01-06 03:25:08,Sleet/Hail/Freezing Rain,Other,Unknown,N,N,"4283 Joseph Mountains Harrellshire , VT 79813"
65,REPORT65,STATUS3,ADDRTYPE1,"94180 Marie Estate Apt. 497
Sydneymouth, FL 61191",Cycles,3.0,2.0,0.0,3.0,1,1,1,2023-10-27,2023-12-28 03:25:08,,,,Y,Y,"94180 Marie Estate Apt . 497 Sydneymouth , FL 61191"
66,REPORT66,STATUS1,ADDRTYPE2,"USCGC Williams
FPO AA 03854",Rear Ended,3.0,1.0,1.0,3.0,0,0,0,2023-06-24,2024-01-05 03:25:08,Unknown,Snow/Slush,Dark - Street Lights Off,N,N,USCGC Williams FPO AA 03854
67,REPORT67,STATUS3,ADDRTYPE3,"406 Ortiz Groves
Davidborough, MO 07928",Angles,2.0,0.0,1.0,2.0,1,0,1,2023-08-01,2023-03-24 03:25:08,Unknown,Oil,Dark - Street Lights Off,Y,Y,"406 Ortiz Groves Davidborough , MO 07928"
68,REPORT68,STATUS1,ADDRTYPE3,"817 Hamilton Mission
South Kristin, MP 26088",Rear Ended,4.0,1.0,0.0,3.0,0,1,1,2023-08-12,2024-02-11 03:25:08,Raining,Oil,Dark - Street Lights Off,Y,Y,"817 Hamilton Mission South Kristin , MP 26088"
69,REPORT69,STATUS1,ADDRTYPE3,"68007 Hanson Road
East Zachary, AL 33362",Sideswipe,1.0,2.0,1.0,2.0,1,0,1,2023-09-19,2023-04-10 03:25:08,Overcast,Ice,Other,Y,N,"68007 Hanson Road East Zachary , AL 33362"
70,REPORT70,STATUS3,ADDRTYPE2,"1208 Pitts Islands Apt. 948
Lake Brenda, FL 77464",Other,3.0,2.0,1.0,2.0,3,1,0,2023-08-17,2023-07-24 03:25:08,Fog/Smog/Smoke,Wet,Daylight,N,Y,"1208 Pitts Islands Apt . 948 Lake Brenda , FL 77464"
71,REPORT71,STATUS1,ADDRTYPE2,"098 Schroeder Crest Apt. 731
Jerryview, CT 52632",Parked Car,4.0,1.0,0.0,3.0,3,0,1,2023-07-15,2023-12-28 03:25:08,Fog/Smog/Smoke,Unknown,Daylight,N,N,"098 Schroeder Crest Apt . 731 Jerryview , CT 52632"
72,REPORT72,STATUS2,ADDRTYPE1,"57143 Michelle Shores
Castroton, CO 16628",Pedestrian,5.0,1.0,1.0,3.0,0,1,1,2023-11-18,2023-06-10 03:25:08,Raining,Wet,Dark - No Street Lights,Y,Y,"57143 Michelle Shores Castroton , CO 16628"
73,REPORT73,STATUS1,ADDRTYPE2,"632 Cooper Hill Apt. 860
Powelltown, MS 45432",Angles,3.0,0.0,0.0,3.0,2,0,0,2023-05-21,2023-04-06 03:25:08,Clear,Ice,Daylight,Y,Y,"632 Cooper Hill Apt . 860 Powelltown , MS 45432"
74,REPORT74,STATUS1,ADDRTYPE3,"27960 Savannah Orchard
Robertsstad, WA 05717",Sideswipe,5.0,1.0,1.0,3.0,3,0,0,2023-10-05,2023-05-17 03:25:08,Severe Crosswind,Snow/Slush,Dark - Street Lights Off,Y,N,"27960 Savannah Orchard Robertsstad , WA 05717"
75,REPORT75,STATUS1,ADDRTYPE2,"4139 Kaufman Circle Apt. 200
South John, MS 16204",Other,4.0,2.0,0.0,3.0,3,1,0,2023-12-26,2023-12-30 03:25:08,,,,N,N,"4139 Kaufman Circle Apt . 200 South John , MS 16204"
76,REPORT76,STATUS2,ADDRTYPE3,"676 Little Run Suite 911
Davischester, WI 93221",Sideswipe,5.0,2.0,1.0,3.0,0,1,1,2023-07-10,2023-04-01 03:25:08,Raining,Snow/Slush,Dark - No Street Lights,N,N,"676 Little Run Suite 911 Davischester , WI 93221"
77,REPORT77,STATUS2,ADDRTYPE2,"5490 Martinez Pass Suite 277
Lake Jasmine, OK 99478",Angles,4.0,0.0,1.0,3.0,0,0,1,2023-03-20,2023-07-07 03:25:08,Clear,Wet,Other,Y,N,"5490 Martinez Pass Suite 277 Lake Jasmine , OK 99478"
78,REPORT78,STATUS2,ADDRTYPE2,"08438 John Court
Antonioland, MP 33482",Rear Ended,5.0,1.0,0.0,3.0,2,1,1,2023-07-10,2023-06-07 03:25:08,Raining,Unknown,Dawn,N,Y,"08438 John Court Antonioland , MP 33482"
79,REPORT79,STATUS3,ADDRTYPE3,"5258 Padilla Union
Shannonmouth, AZ 16711",Other,1.0,0.0,0.0,1.0,0,0,0,2023-11-29,2023-04-28 03:25:08,Sleet/Hail/Freezing Rain,Oil,Dark - No Street Lights,N,N,"5258 Padilla Union Shannonmouth , AZ 16711"
80,REPORT80,STATUS2,ADDRTYPE3,"762 Jackson Creek
North Meghan, CO 52896",Pedestrian,3.0,1.0,0.0,3.0,2,1,0,2023-12-10,2024-02-03 03:25:08,Other,Standing Water,Dark - Street Lights On,Y,Y,"762 Jackson Creek North Meghan , CO 52896"
81,REPORT81,STATUS1,ADDRTYPE2,"4076 Ellis Way Apt. 866
East Michelle, PW 94048",Cycles,3.0,0.0,0.0,1.0,0,1,1,2023-08-22,2023-03-15 03:25:08,Severe Crosswind,Other,Dark - Street Lights On,N,N,"4076 Ellis Way Apt . 866 East Michelle , PW 94048"
82,REPORT82,STATUS2,ADDRTYPE2,"PSC 6182, Box 4951
APO AA 50660",Angles,4.0,0.0,1.0,2.0,3,0,1,2023-07-12,2023-09-24 03:25:08,Clear,Snow/Slush,Dark - Street Lights On,Y,N,"PSC 6182 , Box 4951 APO AA 50660"
83,REPORT83,STATUS2,ADDRTYPE1,"4453 James Unions
Monicashire, NJ 70437",Angles,5.0,2.0,0.0,2.0,0,0,1,2024-02-17,2023-07-19 03:25:08,Overcast,Sand/Mud/Dirt,Dark - Street Lights On,N,Y,"4453 James Unions Monicashire , NJ 70437"
84,REPORT84,STATUS1,ADDRTYPE3,"4565 French Meadow Suite 222
Lake Sarahville, GU 39536",Cycles,2.0,0.0,0.0,1.0,1,1,1,2023-08-20,2023-11-03 03:25:08,Other,Ice,Unknown,N,Y,"4565 French Meadow Suite 222 Lake Sarahville , GU 39536"
85,REPORT85,STATUS3,ADDRTYPE1,"923 Anthony Shoal
Robertfurt, MI 92094",Rear Ended,3.0,0.0,0.0,1.0,3,0,1,2023-02-21,2023-10-28 03:25:08,Raining,Unknown,Dark - Street Lights On,Y,Y,"923 Anthony Shoal Robertfurt , MI 92094"
86,REPORT86,STATUS2,ADDRTYPE2,"5359 Stephanie Shoals Apt. 931
Kevinstad, MO 74407",Other,5.0,2.0,1.0,3.0,1,1,1,2023-11-10,2023-07-02 03:25:08,Sleet/Hail/Freezing Rain,Dry,Other,N,N,"5359 Stephanie Shoals Apt . 931 Kevinstad , MO 74407"
87,REPORT87,STATUS3,ADDRTYPE3,"2256 Humphrey Tunnel
Cynthiafurt, LA 98362",Parked Car,5.0,0.0,1.0,3.0,1,1,1,2023-12-25,2023-05-13 03:25:08,,,,Y,Y,"2256 Humphrey Tunnel Cynthiafurt , LA 98362"
88,REPORT88,STATUS3,ADDRTYPE2,"01659 Isabel Isle Suite 578
Collinsberg, MD 60640",Sideswipe,1.0,2.0,0.0,2.0,0,0,1,2023-11-14,2023-08-08 03:25:08,Overcast,Ice,Dark - Street Lights On,N,N,"01659 Isabel Isle Suite 578 Collinsberg , MD 60640"
89,REPORT89,STATUS3,ADDRTYPE3,"26687 Ariel Keys
East Michelleberg, DC 87187",Pedestrian,2.0,0.0,0.0,3.0,0,1,1,2023-09-27,2023-12-23 03:25:08,Severe Crosswind,Wet,Dark - Street Lights Off,N,N,"26687 Ariel Keys East Michelleberg , DC 87187"
90,REPORT90,STATUS1,ADDRTYPE2,"Unit 1585 Box 0495
DPO AA 85144",Rear Ended,3.0,1.0,1.0,1.0,1,1,1,2024-01-30,2023-11-11 03:25:08,Blowing Sand/Dirt,Unknown,Dawn,Y,N,Unit 1585 Box 0495 DPO AA 85144
91,REPORT91,STATUS3,ADDRTYPE1,"USCGC Hughes
FPO AE 45083",Left Turn,1.0,2.0,0.0,3.0,3,1,1,2023-12-13,2023-06-24 03:25:08,Unknown,Unknown,Other,Y,N,USCGC Hughes FPO AE 45083
